date,F1,F2,F3,F4,F5,F6
2013-10-21,0.22607566,0.37944168,0.5861726,0.01573868,-0.08552213,-0.19095543
2013-10-22,1.146699,0.86766356,0.5291334,0.7502429,-0.19506977,-0.68632203
2013-10-23,-0.49074778,-0.41863108,0.77332956,-1.1706063,-0.18072835,-0.5514481
2013-10-24,-0.022384452,0.046127606,0.80471146,0.7611304,-0.25164476,-0.9390099
2013-10-25,-0.24255095,-0.07316482,-0.03711221,0.73914534,0.40747622,-0.6095353
2013-10-28,-0.505461,0.17708836,-0.5887039,1.3817248,-0.015076927,-1.0620021
2013-10-29,-0.3904845,-0.104985885,0.35667253,-0.218768,-0.25900984,-0.13500503
2013-10-30,0.19946289,-0.16803403,0.8177342,0.62151724,-0.49808854,-0.46806216
2013-10-31,-1.1351217,-0.35259354,-0.96911734,-0.43503216,0.7736334,-0.5098402
2013-11-01,-0.052061044,0.03870112,0.45666957,-0.5138616,0.9902508,-0.62362987
2013-11-04,-0.28825104,0.09142433,0.1355737,-0.4737447,-0.23225886,-0.6722526
2013-11-05,-0.34808448,-0.13269505,0.16194937,0.17199573,0.38144642,-0.6240844
2013-11-06,-0.18597457,0.06354895,0.40948755,0.3704583,-0.75579613,-0.60308367
2013-11-07,-0.067507036,-0.5054021,0.40145075,-0.32359165,0.74249566,-0.40052593
2013-11-08,-0.58703274,-0.6249225,-0.59858507,-0.17204878,0.07733552,0.25326228
2013-11-11,-0.43023446,-0.3519529,0.071653664,-0.2419808,-0.66220057,0.021194855
2013-11-12,-0.38551888,-0.65740424,0.22824821,-0.35510322,0.66748375,-0.28093532
2013-11-13,-0.5991909,-0.10529105,-0.4004877,-0.04286631,-0.3158013,-0.3661276
2013-11-14,0.6909672,-0.69827807,0.42629284,0.20361853,-0.16108301,-1.1542417
2013-11-15,0.011122853,-0.252718,-0.04904765,0.86143756,0.89630073,-0.9453493
2013-11-18,-0.634028,-0.24564797,-0.62014335,-0.2225121,0.6330725,-0.6578477
2013-11-19,0.33297303,0.30571243,0.057538673,0.21799919,0.49606678,-0.024130102
2013-11-20,-0.7091586,-1.0047058,-0.2311057,-0.020799657,0.23916928,-0.3414197
2013-11-21,-0.21294053,-1.0794541,-0.18674377,-0.25064123,-0.30163795,0.5257525
2013-11-22,-0.23760644,0.16314493,0.16270787,0.31775913,-0.30820948,-0.063240685
2013-11-25,-0.030641371,-0.22537498,0.370193,-0.21229172,0.18731427,-0.14398585
2013-11-26,-0.36735153,0.014212056,0.03931452,0.21169753,-0.13026945,-0.50701004
2013-11-27,-0.6190706,-0.31166992,0.073114954,-0.18819201,-0.11326236,-0.7563732
2013-11-29,0.8319228,-0.15042019,0.8659017,0.2337487,0.12067984,0.025653306
2013-12-02,-1.3292477,-0.7649486,-0.7792608,0.104243755,0.44766334,-0.634488
2013-12-03,0.023220722,-0.43856657,-0.36653203,-0.1878614,-0.28398284,-0.20533858
